-10.0, -10.0, 10.0, -10.0
-10.0, -10.0, -10.0, 10.0
10.0, -10.0, 10.0, 10.0
-10.0, 10.0, 10.0, 10.0 
-8.0, -8.0, -3.0, -8.0
-8.0, -8.0, -8.0, -3.0
-3.0, -8.0, -3.0, -3.0
-8.0, -3.0, -3.0, -3.0
-7.7, 5.0, -1.7, 5.0
-7.7, 5.0, -7.7, 6.0
-1.7, 5.0, -1.7, 6.0
-7.7, 6.0, -1.7, 6.0
1.25, -2.25, 1.25, 9.0
1.25, -2.25, 5.5, -2.25
1.25, 9.0, 5.5, 9.0
5.5, -2.25, 5.5, 9.0
4.3, -9.0, 8.7, -9.0
4.3, -9.0, 4.3, -4.6
8.7, -9.0, 8.7, -4.6
4.3, -4.6, 8.7, -4.6
5.5, 3.0, 9.0, 3.0
5.5, 3.0, 5.5, 4.25
9.0, 3.0, 9.0, 4.25
5.5, 4.25, 9.0, 4.25
